2,3,5,3,3,3,5,1,1,1,3,3,3,3,4,3,3,5,2,4,2,2,2,1,1,1,1,2,3,2,1,1,5,5,5,5,3,1,3,5,5,4,2,3,5,3,4,3,4,1,1,1,1,4,1,3,4,4,4,3,4,2,3,1,1,1,1,1,1,1,3,1,1,1,5,5,5,5,5,5,5,5,5,5,2,3,5,4,3,3,5,2,1,3,1,2,3,3,4,3,2,1,3,3,3,1,3,1,1,1,1,3,1,-9999,1,1,3,3,3,3,3,3,3,2,-9999,-9999,3,5,5,3,1,3,3,1,3,2,3,3,3,3,3,3,3,5,4,5,4,1,1,1,1,1,1,3,3,5,1,3,4,5,4,5,5,5,4,4,5,3,2,3,0,0,1,3,0,0,2,3,0,0,2,3,1,2
2,3,5,5,5,4,4,2,1,1,3,4,3,5,3,4,5,5,4,5,5,1,1,1,1,1,1,1,3,3,2,2,3,5,5,5,4,5,5,5,4,5,2,5,5,4,4,4,4,2,2,1,3,3,2,3,3,4,4,3,3,5,3,1,1,1,1,1,1,1,3,2,1,1,3,4,4,4,3,4,3,4,4,4,3,4,5,4,4,5,4,1,1,1,2,1,1,4,3,2,4,1,3,3,3,1,3,1,1,1,1,3,2,2,2,3,3,3,3,2,2,3,3,3,3,3,3,3,4,3,3,3,2,2,2,2,1,3,2,4,2,3,4,1,3,3,4,1,1,1,1,1,1,1,2,3,2,2,3,4,3,3,3,4,4,4,4,5,2,3,0,0,2,3,0,0,2,3,0,0,2,3,1,3
5,5,5,5,5,3,4,1,2,3,5,-9999,3,2,3,4,5,4,4,3,-9999,2,-9999,1,1,1,1,3,3,2,1,3,3,4,3,-9999,2,4,2,3,4,4,5,5,5,5,4,3,3,3,4,3,5,3,3,1,1,3,5,4,5,3,5,5,5,1,1,1,1,4,5,4,1,4,2,3,2,2,1,3,3,2,3,3,5,5,5,4,3,3,3,4,5,3,3,2,2,3,2,3,5,4,5,4,5,2,2,1,2,-9999,3,3,1,3,1,1,1,1,1,3,1,1,1,1,1,1,4,5,5,5,3,2,3,1,2,3,4,2,2,3,1,5,4,5,2,3,3,4,5,1,1,1,2,5,5,3,2,2,1,1,1,1,1,1,2,1,2,2,2,3,0,0,2,3,12,167,2,3,10,48,2,3,10,39
4,5,5,5,5,3,4,1,2,3,4,3,3,1,2,4,3,5,4,5,5,2,1,1,1,1,1,1,1,1,1,1,2,5,4,4,5,5,4,5,5,5,5,3,5,5,5,4,5,3,2,3,5,5,5,2,1,2,5,5,3,5,5,2,1,1,1,1,1,1,1,3,1,1,2,2,3,2,3,2,4,4,4,4,5,4,5,5,5,4,5,3,2,3,5,4,5,2,2,1,3,4,3,3,3,2,1,1,1,1,2,1,1,2,4,1,3,3,3,3,3,3,4,4,4,3,5,5,5,5,5,4,4,2,2,2,5,5,5,3,2,2,3,3,2,4,2,3,1,1,1,1,2,2,2,2,1,2,2,3,3,3,2,3,2,2,4,4,2,3,0,0,2,3,14,499,2,3,12,98,2,3,10,98
3,2,5,5,3,5,2,1,5,3,2,4,1,2,2,3,3,1,4,4,5,3,2,3,4,2,2,1,1,-9999,1,1,1,3,5,2,4,2,3,-9999,1,4,-9999,5,4,-9999,5,-9999,5,3,1,4,3,5,5,5,5,4,5,5,5,5,4,1,2,1,1,1,1,2,1,1,1,1,3,4,-9999,5,5,5,4,5,5,5,1,2,3,5,5,5,5,3,1,3,3,5,5,5,3,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3,3,3,3,3,3,3,3,3,3,3,2,1,2,3,4,2,4,2,4,2,-9999,-9999,-9999,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,0,0,2,3,0,0,2,3,0,0,2,3,0,0
1,1,3,2,5,4,3,1,1,1,3,3,3,4,3,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,5,5,5,5,5,5,1,5,1,1,5,3,3,3,3,1,-9999,1,3,3,3,5,4,5,5,5,5,3,5,1,1,1,1,1,1,1,1,-9999,1,2,3,5,5,5,5,5,5,4,3,5,1,1,5,3,1,5,3,1,1,-9999,3,3,3,5,4,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,5,3,5,3,3,1,1,1,3,3,3,5,5,5,4,-9999,5,4,4,1,1,1,1,1,1,1,1,1,1,1,3,5,3,4,5,5,5,5,3,5,2,3,0,0,2,3,0,0,2,3,0,0,2,3,0,0
3,3,5,4,5,4,4,1,2,1,5,3,4,4,1,2,4,5,4,4,3,4,1,3,1,1,1,1,1,1,1,2,3,3,3,4,2,3,4,2,2,4,2,3,4,2,2,2,2,1,1,1,3,1,2,1,1,4,4,3,2,3,3,3,2,3,1,1,1,1,1,1,1,1,3,2,2,2,2,2,3,2,2,3,3,2,4,3,3,3,2,1,1,1,2,2,4,1,2,3,4,4,3,1,4,1,1,1,1,1,1,1,1,1,1,1,3,4,2,2,3,4,4,3,3,2,4,3,4,4,3,2,3,1,2,1,4,2,4,3,2,2,5,4,4,3,4,1,1,3,1,1,1,2,1,1,1,2,5,4,4,4,4,4,4,4,4,4,2,3,0,0,2,3,0,0,2,3,0,0,2,3,0,0
1,1,1,5,5,5,5,5,5,1,5,5,5,5,5,3,2,1,1,5,1,1,1,1,1,1,1,1,2,1,1,1,5,5,5,5,5,5,5,5,5,5,2,4,2,4,4,4,3,1,2,1,5,4,5,3,3,2,4,3,2,5,5,3,1,1,1,1,1,1,2,1,1,1,4,5,5,5,4,4,4,5,4,5,1,5,1,5,3,2,3,1,1,1,5,4,5,5,3,1,3,3,1,1,3,1,1,1,1,1,1,1,3,2,1,1,4,5,3,4,4,4,3,5,5,4,1,1,1,3,4,2,2,1,3,2,5,5,5,4,2,1,3,2,2,3,3,1,1,1,1,1,1,1,2,1,1,1,2,5,4,4,3,5,3,4,5,5,2,3,0,0,2,3,0,0,2,3,0,0,2,3,0,0
2,3,4,3,3,3,3,1,2,2,2,3,3,4,4,4,4,4,3,5,4,3,4,4,2,1,1,1,2,3,1,1,5,5,4,4,4,4,4,5,4,4,1,3,4,2,2,3,2,1,3,2,3,3,3,4,4,3,4,4,3,4,4,1,3,3,1,1,1,-9999,1,2,1,1,5,5,5,5,5,5,5,5,5,5,2,3,5,3,3,4,4,1,2,1,3,3,3,5,3,3,4,4,3,4,4,1,1,1,1,1,1,2,2,2,1,1,4,5,4,4,5,4,4,5,4,4,3,3,4,2,2,4,3,1,2,2,3,3,3,3,4,2,4,4,4,3,4,1,1,1,1,1,1,3,1,2,2,3,4,4,4,4,4,4,4,4,3,4,2,3,0,0,2,3,0,0,2,3,0,0,2,3,1,1
3,2,3,4,4,-9999,3,1,3,1,3,3,3,4,4,4,5,5,4,3,4,3,1,2,1,1,1,1,2,2,1,2,4,5,4,4,5,4,5,4,4,5,4,3,3,3,5,3,3,2,1,2,3,3,2,5,5,3,4,4,4,2,4,3,1,4,1,1,1,2,2,2,1,1,4,5,5,5,4,5,5,4,4,5,4,5,5,2,5,3,2,1,1,1,3,3,2,4,4,2,4,1,3,2,3,2,1,4,1,1,1,3,2,4,1,1,2,3,3,3,2,3,4,3,3,3,4,4,4,3,3,3,3,1,1,1,2,3,3,3,3,4,3,3,3,4,4,3,1,1,1,1,1,2,2,3,1,1,3,3,3,2,2,2,3,3,3,4,2,3,0,0,2,3,1,0,2,3,1,11,2,3,1,5
