4	4	5	3	2	3	4	3	3	3	2	1980	11	AT
3	1	3	1	1	1	1	2	2	2	1	1974	20	AT
3	2	4	4	2	2	2	2	2	2	1	1954	16	AT
2	2	4	3	1	3	3	2	2	2	2	1967	12	AT
4	3	3	2	1	3	2	3	3	3	2	1971	11	AT
2	1	2	2	2	2	1	3	4	2	2	1930	8	AT
3	2	2	5	1	1	2	7	7	7	1	1987	10	AT
1	3	2	2	1	2	1	2	3	2	2	1956	9	AT
2	1	2	3	1	2	1	2	2	2	2	1958	12	AT
3	1	3	2	1	1	1	2	2	2	2	1921	8	AT
6	2	3	4	1	1	1	2	2	2	1	1955	16	AT
3	2	3	3	1	2	2	2	2	2	2	1955	9	AT
2	5	4	2	1	2	1	3	3	3	1	1962	8	AT
2	2	2	1	1	2	1	2	2	2	2	1982	13	AT
4	1	3	1	1	1	2	2	2	1	2	1985	15	AT
2	2	4	3	3	4	2	8	8	8	2	1949	9	AT
1	5	8	4	3	8	4	8	2	8	1	1954	12	AT
2	4	4	4	3	4	4	8	8	8	1	1930	9	AT
2	1	2	1	1	1	1	1	2	2	1	1962	16	AT
3	5	3	8	8	5	8	4	4	4	1	1923	8	AT
4	1	4	1	8	3	2	2	2	2	2	1976	12	AT
4	4	4	4	2	3	4	3	3	3	1	1932	12	AT
3	6	5	3	2	1	3	2	2	2	2	1990	10	AT
4	5	4	3	2	3	3	2	2	2	2	1985	15	AT
5	1	4	3	2	3	1	1	2	2	1	1934	11	AT
3	2	4	2	2	3	3	3	4	4	1	1929	9	AT
2	1	2	1	1	3	3	3	4	3	1	1972	9	AT
2	4	4	2	3	4	1	1	3	3	2	1977	11	AT
1	1	2	1	1	1	1	2	2	2	1	1939	13	AT
2	3	6	4	4	1	2	1	4	3	2	1971	12	AT
3	2	4	2	2	2	1	2	3	2	2	1948	11	AT
3	4	4	3	1	1	1	1	2	2	2	1963	12	AT
5	2	6	1	3	4	3	2	2	2	1	1983	13	AT
3	4	4	3	1	2	2	1	1	1	2	1954	15	AT
3	4	4	5	2	2	2	2	2	2	2	1975	11	AT
5	3	4	8	3	3	4	2	2	3	1	1990	99	AT
4	2	4	2	1	1	1	2	2	8	2	1927	16	AT
4	3	3	3	4	4	4	2	2	1	2	1992	9	AT
2	1	4	3	2	2	1	2	3	3	2	1961	11	AT
3	3	4	4	3	1	3	1	2	2	2	1960	11	AT
2	2	4	2	2	7	3	2	3	2	1	1941	13	AT
3	3	5	3	3	2	2	8	8	8	1	1964	19	AT
1	1	1	1	1	3	1	3	4	3	1	1930	13	AT
2	3	3	2	5	4	2	4	4	4	2	1975	12	AT
1	6	5	1	2	3	2	3	4	4	1	1962	13	AT
3	5	4	4	4	4	4	3	3	3	2	1977	11	AT
2	2	3	2	2	2	2	2	3	3	1	1953	10	AT
5	2	6	5	1	1	1	2	2	2	2	1960	11	AT
4	1	5	3	3	3	4	2	2	2	1	1964	11	AT
3	1	1	7	6	3	1	1	3	2	2	1971	9	AT
3	3	4	2	2	2	3	3	3	3	2	1967	11	AT
2	3	5	1	3	3	2	2	2	2	1	1933	8	AT
3	3	2	5	1	1	3	2	2	2	2	1967	15	AT
2	1	1	6	2	2	4	8	8	8	2	1943	8	AT
1	4	1	2	2	2	1	3	4	4	1	1965	12	AT
2	4	6	4	1	2	1	1	2	2	2	1952	12	AT
3	3	3	3	2	2	1	1	2	2	1	1984	14	AT
2	4	2	2	1	2	2	1	1	1	1	1940	15	AT
2	2	3	4	2	4	2	3	3	3	2	1965	12	AT
5	5	5	5	2	3	3	2	2	2	1	1942	19	AT
3	1	3	1	3	4	4	2	3	3	1	1936	9	AT
2	1	2	2	2	5	4	3	4	4	2	1954	9	AT
3	3	1	1	1	1	2	2	3	3	2	1956	12	AT
4	5	8	1	2	8	2	2	2	2	1	1936	8	AT
5	1	1	2	3	2	4	3	3	3	2	1971	11	AT
3	2	2	2	1	3	4	3	4	4	2	1950	8	AT
5	3	2	1	1	1	1	2	2	2	1	1952	15	AT
2	2	3	2	1	2	2	8	8	8	2	1958	15	AT
1	3	3	2	1	2	2	3	3	3	2	1951	11	AT
4	4	3	2	1	2	2	3	3	3	2	1985	12	AT
4	4	3	4	2	2	2	2	3	3	1	1951	12	AT
1	1	2	1	1	2	1	2	2	1	2	1936	10	AT
4	3	4	4	3	4	2	2	3	3	1	1990	12	AT
5	2	5	2	2	4	2	3	3	3	1	1940	9	AT
2	3	4	2	2	2	2	3	4	4	1	1985	14	AT
2	2	5	4	1	3	1	2	2	2	2	1985	12	AT
4	3	4	2	1	3	2	2	2	2	2	1966	11	AT
6	4	6	2	3	2	2	2	4	4	2	1984	15	AT
3	1	4	3	3	3	1	3	3	3	1	1984	13	AT
5	5	4	4	1	2	1	1	1	1	2	1992	9	AT
4	5	5	3	3	3	3	2	3	3	1	1963	11	AT
